CustomerID,Age,Gender,Location,Tenure,ServiceType,PlanType,VoiceCallMinutes,SMSsent,DataUsageGB,IntlCallMinutes,RoamingCharges,NetworkIssues,DroppedCalls,SupportCalls,DataSpeed,Latency,SatisfactionScore,Churn,PaymentMethod,PaymentHistory,ServiceDowntime,ContractRenewal,CallsPerMonth,SMSPerMonth,SupportCallsPerMonth,IssueRate,LatencyRatio,TechPerformance,SupportToIssueRatio,AvgCallDuration,Cluster,PCA1,PCA2,DistanceFromCenter
7585d27a-2614-45a1-a00d-fc189c194000,49.0,Female,North Michael,7.0,Prepaid,Premium,1624.0,63.0,65.0,150.0,44.33,2.0,3.0,4.0,73.21,1.03,8.0,0.0,Credit Card,5.0,35.85,3.0,203.0,7.875,0.5,1.125,0.013879531060503977,36.06403940886699,0.6666666666666666,324.8,3,136.69365216158147,2.300984820357804,55.366945143769854
27b52178-292c-462b-a647-977c438fedf9,20.0,Female,Lindamouth,7.0,Prepaid,Basic,1914.0,55.0,109.0,87.0,4.24,4.0,2.0,2.0,94.57,6.17,4.0,1.0,Credit Card,2.0,40.47,3.0,239.25,6.875,0.25,1.0,0.06456000837082768,13.189679218967921,0.2857142857142857,638.0,1,48.80026252660315,2.2338940461463794,28.05895623677599
a3eac033-7bf4-460f-bca8-5777ff560d2e,32.0,Female,South Kristentown,3.0,Postpaid,Basic,713.0,94.0,60.0,55.0,5.74,5.0,2.0,12.0,66.76,4.6,2.0,1.0,Credit Card,3.0,21.45,1.0,178.25,23.5,3.0,4.75,0.06788665879574969,11.921428571428573,1.5,54.84615384615385,1,43.94361109594829,12.243542833214804,26.581726716982285
bdc290cb-1c40-4590-9223-5f9125806c6e,77.0,Female,Port Christopher,20.0,Prepaid,Basic,997.0,150.0,37.0,229.0,13.13,0.0,1.0,8.0,40.73,2.16,5.0,0.0,Credit Card,3.0,-2.74,3.0,47.476190476190474,7.142857142857143,0.38095238095238093,0.42857142857142855,0.05176132278936018,12.889240506329113,4.0,110.77777777777777,1,47.64069144229783,-0.7848971985550867,26.258385804304517
7ab9a55a-c315-4b47-9fae-d7df5687b349,62.0,Female,Lake David,1.0,Postpaid,Basic,782.0,85.0,47.0,3.0,3.54,1.0,2.0,12.0,55.07,10.65,4.0,1.0,Debit Card,4.0,-4.9,2.0,391.0,42.5,6.0,7.5,0.18994114499732478,4.727038626609442,3.0,60.15384615384615,2,16.321047338621455,25.429115790252183,22.460842271483237
f19dd9d1-e738-44f4-836c-ff7f59b9ee7c,36.0,Female,Port Pamela,24.0,Postpaid,Basic,1335.0,250.0,72.0,30.0,18.91,1.0,1.0,8.0,77.71,5.94,1.0,1.0,Credit Card,0.0,38.48,2.0,53.4,10.0,0.32,0.4,0.07546690382416467,11.197406340057636,2.6666666666666665,148.33333333333334,1,41.13964245773541,-0.7155142562772079,19.621122131853195
4fdfbafb-4179-4b5f-a489-c803298e39a7,32.0,Female,North Michael,1.0,Postpaid,Basic,1952.0,489.0,31.0,150.0,24.98,3.0,0.0,6.0,21.89,422.93,4.0,1.0,E-Check,5.0,4.57,2.0,976.0,244.5,3.0,4.5,18.47662734818698,0.051635883282617416,1.5,278.85714285714283,2,-1.8525755479676265,35.73737378644682,27.187626124059488
5128ae8c-48ee-4188-937a-9b67e6fd257f,73.0,Male,Hannahberg,1.0,Postpaid,Basic,858.0,250.0,116.0,90.0,2.74,9.0,5.0,14.0,94.75,233.77,7.0,1.0,Credit Card,3.0,-4.33,1.0,429.0,125.0,7.0,14.0,2.4414621409921673,0.4035864889040337,0.9333333333333333,57.2,2,-0.29507109430762246,40.50153773663655,26.598964587965114
f4614282-80a8-4dd7-b2c4-5acf5bd08433,34.0,Female,Kristopherland,1.0,Postpaid,Premium,337.0,367.0,29.0,48.0,41.45,6.0,2.0,15.0,9.12,250.79,10.0,1.0,Credit Card,3.0,24.96,1.0,168.5,183.5,7.5,11.5,24.781620553359684,0.03622066007387108,1.6666666666666667,21.0625,2,-1.9911097827518285,38.008666441556706,26.862345892080175
99e627bd-ebe3-4648-9029-82fbdfede4b2,67.0,Male,South Robert,1.0,Postpaid,Premium,1642.0,354.0,48.0,290.0,5.83,5.0,2.0,15.0,50.42,393.31,1.0,0.0,Credit Card,4.0,3.13,3.0,821.0,177.0,7.5,11.0,7.6489692726565535,0.1278689356090386,1.875,102.625,2,-1.408039986391646,46.23539432803028,29.130962820834462
49db7c33-6118-4ec2-9a09-101d970b7166,52.0,Female,West Joseph,61.0,Prepaid,Premium,1560.0,41.0,61.0,231.0,14.65,5.0,2.0,7.0,67.34,3.35,9.0,1.0,Credit Card,1.0,-0.02,1.0,25.161290322580644,0.6612903225806451,0.11290322580645161,0.22580645161290322,0.049019607843137254,15.480459770114944,0.875,195.0,3,57.59441211806945,-2.400303368201385,24.29216548352273
ee20317f-afbb-4e1c-9962-d109383f6058,46.0,Male,North Michael,1.0,Prepaid,Basic,1668.0,495.0,41.0,247.0,24.98,10.0,0.0,11.0,83.98,117.61,3.0,0.0,E-Check,2.0,47.1,3.0,834.0,247.5,5.5,10.5,1.383972699458696,0.7080347356883906,1.0,139.0,2,0.8982005056630338,46.003172393519925,29.466497223106977
997e2d68-acc1-4384-a60c-48f21b9cb981,44.0,Female,Williamtown,31.0,Postpaid,Basic,1962.0,334.0,113.0,261.0,40.42,9.0,3.0,14.0,50.42,2.13,1.0,0.0,Debit Card,0.0,42.91,3.0,61.3125,10.4375,0.4375,0.8125,0.04142357059509918,16.10862619808307,1.0769230769230769,130.8,3,60.01237964796711,0.07439395563900342,21.763003676846587
390221d5-5516-4c6f-9afc-14757dabf027,47.0,Female,Dustinhaven,37.0,Prepaid,Basic,1891.0,61.0,121.0,12.0,48.57,10.0,0.0,15.0,96.66,6.84,2.0,0.0,Credit Card,1.0,-0.51,1.0,49.76315789473684,1.605263157894737,0.39473684210526316,0.6578947368421053,0.07003891050583658,12.329081632653061,1.3636363636363635,118.1875,1,45.48805943381387,-0.8379070739183204,23.935528444537653
70bb3ff7-e843-4dfb-b103-a3d488df6626,22.0,Female,East Tylerton,1.0,Prepaid,Premium,1202.0,494.0,31.0,280.0,3.33,9.0,2.0,0.0,50.42,75.52,9.0,1.0,Credit Card,5.0,21.45,3.0,601.0,247.0,0.0,5.5,1.468689225982108,0.6589127025614219,0.0,1202.0,2,0.6728695893177532,25.976184745971892,24.521737739702814
8b933827-d369-471d-aa5b-e2b09082c57e,22.0,Female,Harrisside,1.0,Prepaid,Premium,209.0,301.0,48.0,36.0,6.48,1.0,1.0,15.0,57.62,130.99,8.0,0.0,Credit Card,2.0,24.21,1.0,104.5,150.5,7.5,8.5,2.2345615830774483,0.4365482233502538,5.0,13.0625,2,-0.18324154134600168,31.612139982009275,22.89549247604825
bd2be5bc-0e58-461e-9828-c7693bc9aaed,61.0,Male,West Jenniferside,53.0,Postpaid,Premium,1067.0,163.0,40.0,240.0,44.9,0.0,2.0,5.0,47.16,2.86,6.0,1.0,Credit Card,5.0,13.94,1.0,19.75925925925926,3.0185185185185186,0.09259259259259259,0.12962962962962962,0.059385382059800665,12.21761658031088,1.6666666666666667,177.83333333333334,1,45.057054565701534,-2.441640351397322,23.56413894346098
5a0d9e8b-9f56-407d-b0da-af0475a5e5bb,65.0,Male,Farleyshire,27.0,Prepaid,Basic,1759.0,380.0,30.0,240.0,1.82,5.0,0.0,9.0,1.16,431.13,6.0,0.0,Debit Card,5.0,10.08,0.0,62.82142857142857,13.571428571428571,0.32142857142857145,0.5,199.5972222222222,0.0026843773864346377,1.5,175.9,0,-4.355788440381432,-0.2765844509356412,19.61740367316058
b5958eeb-58fb-4bfa-9ae6-a0293f7cc914,43.0,Female,Johnsonshire,1.0,Prepaid,Premium,1361.0,178.0,104.0,281.0,20.32,4.0,3.0,15.0,90.76,250.79,7.0,0.0,E-Check,5.0,26.83,1.0,680.5,89.0,7.5,11.0,2.733108108108108,0.36045911275269077,1.875,85.0625,2,-0.4647349489270093,39.2803845395315,24.938996025462075
cf74e900-4f1d-4fd9-a89c-38659606386a,60.0,Male,Hesschester,1.0,Prepaid,Standard,1719.0,472.0,38.0,261.0,48.77,5.0,5.0,13.0,43.89,346.03,2.0,1.0,Credit Card,1.0,13.97,0.0,859.5,236.0,6.5,11.5,7.708398306972599,0.12647321557214075,1.1818181818181819,122.78571428571429,2,-1.4101381327136677,48.83247306800332,31.527968842953246
1a1a8d1a-f6bf-42d3-84bc-db3d39ffc44a,62.0,Male,Brianport,37.0,Postpaid,Basic,642.0,208.0,30.0,64.0,25.48,1.0,2.0,5.0,1.22,447.34,5.0,1.0,Credit Card,0.0,3.52,1.0,16.894736842105264,5.473684210526316,0.13157894736842105,0.21052631578947367,201.50450450450452,0.002721149127894009,1.25,107.0,0,-4.382483341802473,-2.1112593438813647,19.95609189240725
8b96fef2-6bd6-4af8-a597-d327824ddc47,57.0,Female,South Juliebury,1.0,Prepaid,Basic,205.0,122.0,24.0,231.0,4.31,7.0,1.0,12.0,1.55,359.23,3.0,0.0,E-Check,2.0,21.45,3.0,102.5,61.0,6.0,10.0,140.8745098039216,0.0043028065402659415,1.3333333333333333,15.76923076923077,2,-3.5773816388583106,25.439616215856084,28.32381596019932
2f6db874-aa4a-4d44-8753-3d2f480b3753,50.0,Male,Alexisstad,11.0,Postpaid,Premium,835.0,465.0,61.0,222.0,9.16,4.0,1.0,1.0,67.7,3.16,8.0,1.0,Credit Card,2.0,-2.94,1.0,69.58333333333333,38.75,0.08333333333333333,0.5,0.04599708879184862,16.27403846153846,0.16666666666666666,417.5,3,60.64839385286406,0.7175889637398254,21.482702749296283
0aa9a942-d05d-42cf-b246-89ccdd46b985,59.0,Female,East Cynthiaberg,1.0,Prepaid,Standard,1772.0,15.0,28.0,188.0,18.78,6.0,4.0,8.0,14.36,119.97,4.0,0.0,E-Check,1.0,27.82,1.0,886.0,7.5,4.0,9.0,7.810546875,0.1187071174671406,0.7272727272727273,196.88888888888889,2,-1.4720999063810916,28.491502032300602,21.366475218442446
0427790f-4392-4be4-aa2a-0dbb456b5662,41.0,Female,West Erica,1.0,Prepaid,Premium,1965.0,250.0,127.0,233.0,16.39,9.0,5.0,8.0,50.42,403.99,3.0,1.0,E-Check,3.0,16.41,3.0,982.5,125.0,4.0,11.0,7.856670556203811,0.12449690115805329,0.5333333333333333,218.33333333333334,2,-1.433868971297871,38.94888168433063,24.492553001650386
